Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:195855
Palabra:automation Frec:6 LogProb:-10.326352777705333
Palabra:automotive Frec:10 LogProb:-9.874367653962276
Palabra:avail Frec:7 LogProb:-10.19282138508081
Palabra:availability Frec:23 LogProb:-9.094209096412701
Palabra:ave Frec:3 LogProb:-10.885968565640756
Palabra:avenue Frec:4 LogProb:-10.662825014326547
Palabra:average Frec:38 LogProb:-8.608701280631
Palabra:avg Frec:4 LogProb:-10.662825014326547
Palabra:aviation Frec:4 LogProb:-10.662825014326547
Palabra:avoid Frec:245 LogProb:-6.766931390828284
Palabra:avoided Frec:7 LogProb:-10.19282138508081
Palabra:avoiding Frec:51 LogProb:-8.32101920817922
Palabra:await Frec:2 LogProb:-11.173650638092537
Palabra:awaiting Frec:2 LogProb:-11.173650638092537
Palabra:awake Frec:2 LogProb:-11.173650638092537
Palabra:aware Frec:53 LogProb:-8.283278880196372
Palabra:awareness Frec:16 LogProb:-9.439049582704431
Palabra:awesome Frec:4 LogProb:-10.662825014326547
Palabra:awful Frec:22 LogProb:-9.136768710831497
Palabra:awhile Frec:5 LogProb:-10.480503457532592
Palabra:awkward Frec:2 LogProb:-11.173650638092537
Palabra:babies Frec:11 LogProb:-9.787356276972647
Palabra:baby Frec:61 LogProb:-8.145128541715554
Palabra:back Frec:323 LogProb:-6.491519410968317
Palabra:backbone Frec:3 LogProb:-10.885968565640756
Palabra:background Frec:2 LogProb:-11.173650638092537
Palabra:bacon Frec:4 LogProb:-10.662825014326547
Palabra:bacteria Frec:16 LogProb:-9.439049582704431
Palabra:bacterial Frec:8 LogProb:-10.075038349424426
Palabra:bad Frec:221 LogProb:-6.869585544888367
Palabra:badge Frec:4 LogProb:-10.662825014326547
Palabra:badly Frec:19 LogProb:-9.276530653206656
Palabra:bag Frec:42 LogProb:-8.511062811067085
Palabra:bagging Frec:4 LogProb:-10.662825014326547
Palabra:bags Frec:56 LogProb:-8.229211658926097
Palabra:bail Frec:9 LogProb:-9.9696778337666
Palabra:bailing Frec:5 LogProb:-10.480503457532592
Palabra:bailout Frec:20 LogProb:-9.227740489037224
Palabra:bailouts Frec:7 LogProb:-10.19282138508081
Palabra:bake Frec:2 LogProb:-11.173650638092537
Palabra:baked Frec:9 LogProb:-9.9696778337666
Palabra:baker Frec:6 LogProb:-10.326352777705333
Palabra:bakeries Frec:2 LogProb:-11.173650638092537
Palabra:bakers Frec:1 LogProb:-11.579115746200701
Palabra:bakery Frec:7 LogProb:-10.19282138508081
Palabra:baking Frec:7 LogProb:-10.19282138508081
Palabra:balance Frec:11 LogProb:-9.787356276972647
Palabra:balcony Frec:2 LogProb:-11.173650638092537
Palabra:ball Frec:7 LogProb:-10.19282138508081
Palabra:balls Frec:3 LogProb:-10.885968565640756
Palabra:ban Frec:56 LogProb:-8.229211658926097
Palabra:banana Frec:2 LogProb:-11.173650638092537
Palabra:bananas Frec:2 LogProb:-11.173650638092537
Palabra:band Frec:7 LogProb:-10.19282138508081
Palabra:bang Frec:4 LogProb:-10.662825014326547
Palabra:bank Frec:158 LogProb:-7.203358724540415
Palabra:bankers Frec:13 LogProb:-9.633205597145388
Palabra:banking Frec:15 LogProb:-9.499674204520865
Palabra:bankrupt Frec:12 LogProb:-9.70731356929911
Palabra:bankruptcy Frec:5 LogProb:-10.480503457532592
Palabra:banks Frec:213 LogProb:-6.906286911738795
Palabra:banned Frec:30 LogProb:-8.838275722275501
Palabra:banning Frec:8 LogProb:-10.075038349424426
Palabra:bans Frec:8 LogProb:-10.075038349424426
Palabra:bar Frec:18 LogProb:-9.327823947594206
Palabra:bare Frec:71 LogProb:-7.995596807744591
Palabra:barely Frec:13 LogProb:-9.633205597145388
Palabra:bargain Frec:9 LogProb:-9.9696778337666
Palabra:bargaining Frec:1 LogProb:-11.579115746200701
Palabra:bargains Frec:2 LogProb:-11.173650638092537
Palabra:barrel Frec:47 LogProb:-8.401061915852756
Palabra:barrels Frec:17 LogProb:-9.381891168864481
Palabra:barren Frec:8 LogProb:-10.075038349424426
Palabra:barrier Frec:5 LogProb:-10.480503457532592
Palabra:barriers Frec:4 LogProb:-10.662825014326547
Palabra:bars Frec:27 LogProb:-8.940058416585442
Palabra:base Frec:16 LogProb:-9.439049582704431
Palabra:baseball Frec:2 LogProb:-11.173650638092537
Palabra:based Frec:83 LogProb:-7.841446127917333
Palabra:basement Frec:4 LogProb:-10.662825014326547
Palabra:bases Frec:1 LogProb:-11.579115746200701
Palabra:basic Frec:90 LogProb:-7.761403420243797
Palabra:basically Frec:22 LogProb:-9.136768710831497
Palabra:basics Frec:22 LogProb:-9.136768710831497
Palabra:basis Frec:22 LogProb:-9.136768710831497
Palabra:basket Frec:23 LogProb:-9.094209096412701
Palabra:basketball Frec:1 LogProb:-11.579115746200701
Palabra:baskets Frec:14 LogProb:-9.564212725658436
Palabra:bastard Frec:12 LogProb:-9.70731356929911
Palabra:bastards Frec:28 LogProb:-8.904967096774172
Palabra:bat Frec:5 LogProb:-10.480503457532592
Palabra:batch Frec:2 LogProb:-11.173650638092537
Palabra:bath Frec:2 LogProb:-11.173650638092537
Palabra:bathroom Frec:10 LogProb:-9.874367653962276
Palabra:bathrooms Frec:3 LogProb:-10.885968565640756
